indicator,indicator_type,ip_version,prefix,asn,organization,country,malicious,confidence,category,source,first_seen,last_seen,malware
154.93.42.0/23,MaliciousASNIPv4Prefix,4,154.93.42.0/23,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.44.0/24,MaliciousASNIPv4Prefix,4,154.93.44.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.45.0/24,MaliciousASNIPv4Prefix,4,154.93.45.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.46.0/24,MaliciousASNIPv4Prefix,4,154.93.46.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.47.0/24,MaliciousASNIPv4Prefix,4,154.93.47.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.48.0/24,MaliciousASNIPv4Prefix,4,154.93.48.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.49.0/24,MaliciousASNIPv4Prefix,4,154.93.49.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.50.0/24,MaliciousASNIPv4Prefix,4,154.93.50.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.51.0/24,MaliciousASNIPv4Prefix,4,154.93.51.0/24,154177,LIGHT NODE LIMITED,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.52.0/23,MaliciousASNIPv4Prefix,4,154.93.52.0/23,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.54.0/23,MaliciousASNIPv4Prefix,4,154.93.54.0/23,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.56.0/23,MaliciousASNIPv4Prefix,4,154.93.56.0/23,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.58.0/24,MaliciousASNIPv4Prefix,4,154.93.58.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.59.0/24,MaliciousASNIPv4Prefix,4,154.93.59.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.60.0/24,MaliciousASNIPv4Prefix,4,154.93.60.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.61.0/24,MaliciousASNIPv4Prefix,4,154.93.61.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.62.0/24,MaliciousASNIPv4Prefix,4,154.93.62.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.63.0/24,MaliciousASNIPv4Prefix,4,154.93.63.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.84.0/23,MaliciousASNIPv4Prefix,4,154.93.84.0/23,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.86.0/24,MaliciousASNIPv4Prefix,4,154.93.86.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.97.0/24,MaliciousASNIPv4Prefix,4,154.93.97.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.98.0/24,MaliciousASNIPv4Prefix,4,154.93.98.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.93.99.0/24,MaliciousASNIPv4Prefix,4,154.93.99.0/24,138915,Kaopu Cloud HK Limited,HK,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.94.1.0/24,MaliciousASNIPv4Prefix,4,154.94.1.0/24,63023,GTHost,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.94.224.0/22,MaliciousASNIPv4Prefix,4,154.94.224.0/22,401696,cognetcloud INC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.94.224.0/23,MaliciousASNIPv4Prefix,4,154.94.224.0/23,401696,cognetcloud INC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.94.226.0/23,MaliciousASNIPv4Prefix,4,154.94.226.0/23,401696,cognetcloud INC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.94.232.0/22,MaliciousASNIPv4Prefix,4,154.94.232.0/22,401696,cognetcloud INC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.94.232.0/23,MaliciousASNIPv4Prefix,4,154.94.232.0/23,401701,cognetcloud INC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.94.234.0/23,MaliciousASNIPv4Prefix,4,154.94.234.0/23,401701,cognetcloud INC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.94.236.0/22,MaliciousASNIPv4Prefix,4,154.94.236.0/22,401696,cognetcloud INC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
154.94.236.0/23,MaliciousASNIPv4Prefix,4,154.94.236.0/23,401701,cognetcloud INC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
