prefix,ip_version,sbl_id,source,source_url,last_seen,asn,organization,country
24.137.16.0/20,4,SBL502541,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
24.170.208.0/20,4,SBL502917,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
24.233.0.0/19,4,SBL210084,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,55933,Cloudie Limited,HK
24.236.0.0/19,4,SBL502928,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
27.50.63.0/24,4,SBL613485,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,152194,CTG Server Limited,HK
27.99.128.0/17,4,SBL677409,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,17789,CNCGROUP IP network of ShangHai IDC,CN
27.100.28.0/22,4,SBL124545,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,18068,Dream Wave Shizuoka Co. Ltd.,JP
27.112.32.0/19,4,SBL237955,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
27.122.32.0/20,4,SBL682162,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,208525,Airu Limited,HK
27.123.208.0/22,4,SBL137265,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,132827,GATEWAY INC,JP
27.124.0.0/18,4,SBL668364,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,64050,BGP Network Limited,HK
27.124.17.0/24,4,SBL613430,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,152194,CTG Server Limited,HK
27.124.41.0/24,4,SBL613196,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,152194,CTG Server Limited,HK
27.126.160.0/20,4,SBL257064,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
27.146.0.0/16,4,SBL326434,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
27.255.85.0/24,4,SBL694506,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,45382,Hostcenter,KR
