ip,source,source_url,last_seen,asn,organization,country
136.116.129.132,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,396982,Google Cloud Platform,US
136.118.125.14,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,396982,Google Cloud Platform,US
136.119.195.137,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,396982,Google Cloud Platform,US
136.232.19.42,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,55836,Reliance Jio Infocomm Limited,IN
136.232.75.134,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,55836,Reliance Jio Infocomm Limited,IN
136.24.208.89,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,19165,Webpass Inc.,US
136.32.167.168,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,16591,Google Fiber Inc.,US
136.34.254.67,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,16591,Google Fiber Inc.,US
136.38.164.6,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,16591,Google Fiber Inc.,US
136.58.139.30,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,16591,Google Fiber Inc.,US
136.64.39.43,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,396982,Google Cloud Platform,US
136.92.33.159,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,396982,Google Cloud Platform,US
137.131.232.50,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,31898,Oracle Cloud,US
137.184.112.192,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.112.22,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.114.169,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.117.16,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.121.109,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.124.128,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.1.244,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.129.137,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.13.100,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
