asn,organization,malicious,confidence,category,source,source_url,last_seen
51447,RootLayer Web Services LLC,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
51511,"LLC ""Teleradio Company Traide-Express""",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
51722,PIXOOF TEKNOLOJI ANONIM SIRKETI,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
52209,Atis Omran Sevin PSJ,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
53958,AUPROXIES LLC,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
54497,American Domain Names LLC,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
54801,Zillion Network Inc.,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
55154,Madgenius.com,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
55748,7-9-10 Nishi-Shinjuku,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
55933,Cloudie Limited,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
56291,"Ace, Inc.",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
56362,TMN SA,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
56584,InterIX Route Servers,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
56873,1337TEAM LIMITED,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
57100,Individual entrepreneur Dyachenko Valentina Ivanovna,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
57415,"""R-TEL"" LLC",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
57509,L&L Investment Ltd.,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
57523,Chang Way Technologies Co. Limited,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
58192,Atis Omran Sevin PSJ,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
58854,Kaopu Cloud,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
58961,Perhimpunan Klik Indonesia,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
59425,Chang Way Technologies Co. Limited,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
59651,Alex Largman,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
59683,VipNet Ltd,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
60842,Huize Holdings LLC,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
61003,GlobalTeleHost Corp.,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
61432,TOV VAIZ PARTNER,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
61879,América Latina Educacional Adm. e Serviços LTDA,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
62206,Pitline Ltd,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
62380,Bunea TELECOM SRL,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
62563,GLOBALTELEHOST Corp.,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
62864,net innovation llc,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
63023,GTHost,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
63881,PT. Medianet Digital Indonesia,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
131388,VIET NAM HT GROUP JOINT STOCK COMPANY,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
131750,PT Gisindo Inti Solusi,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
131831,,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
132574,Alpha InfoLab Inc,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
132827,GATEWAY INC,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
132930,HERBALVEDA WELLNESS,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
